,_id,count,count_with_activity,ratio
353,Eye Care Center,280,89.0,31.79
354,Body Piercing Shop,279,68.0,24.37
355,Pottery Store,279,48.0,17.2
356,Weight Loss Service,277,75.0,27.08
357,Towing Service,277,109.0,39.35
358,Orthopedic Clinic,275,82.0,29.82
359,Movie Rental Kiosk,274,2.0,0.73
360,Diesel Engine Repair Service,272,77.0,28.31
361,Dental Laboratory,271,,
362,Moving And Storage Service,270,,
363,Bicycle Repair Shop,270,88.0,32.59
364,Auto Tune Up Service,266,81.0,30.45
365,Recreation Center,266,171.0,64.29
366,Periodontist,265,59.0,22.26
367,Boat Repair Shop,262,63.0,24.05
368,Welding Supply Store,261,96.0,36.78
369,Pest Control Service,259,11.0,4.25
370,Battery Store,258,193.0,74.81
371,Espresso Bar,258,148.0,57.36
372,Gay Bar,257,52.0,20.23
373,Natural Goods Store,254,91.0,35.83
374,Occupational Medical Physician,253,54.0,21.34
375,Grill,250,170.0,68.0
376,Used Auto Parts Store,249,118.0,47.39
377,Boot Store,249,128.0,51.41
378,Soccer Store,247,36.0,14.57
379,Landscaping Supply Store,247,112.0,45.34
380,Endodontist,246,57.0,23.17
381,Emergency Dental Service,246,19.0,7.72
382,Family Counselor,242,,
383,Puerto Rican Restaurant,242,166.0,68.6
384,Walk-in Clinic,242,107.0,44.21
385,Bird Shop,241,59.0,24.48
386,Used Appliance Store,241,61.0,25.31
387,Camera Store,241,2.0,0.83
388,Home Theater Store,241,17.0,7.05
389,Kickboxing School,241,77.0,31.95
390,Commercial Printer,239,67.0,28.03
391,Orthopedic Surgeon,238,77.0,32.35
392,Warehouse Club,237,228.0,96.2
393,Chevrolet Dealer,236,222.0,94.07
394,Dermatologist,234,73.0,31.2
395,Lebanese Restaurant,234,163.0,69.66
396,Warehouse Store,232,175.0,75.43
397,African Goods Store,232,80.0,34.48
398,Mental Health Clinic,228,2.0,0.88
399,Vegetarian Restaurant,226,154.0,68.14
400,Racing Car Parts Store,226,67.0,29.65
401,Pain Management Physician,225,77.0,34.22
402,Smog Inspection Station,222,99.0,44.59
403,Souvenir Store,221,30.0,13.57
404,Persian Restaurant,220,161.0,73.18
