Feed,Link,Latitude,Longitude,City,Scope,Topic,Tag
LA Biz News (Greensboro),"https://rss.bizjournals.com/feed/c978145627afc34bb564a5b305ecc09bd0e153c8/3294?market=triad&selectortype=channel&selectorvalue=2,17,12,16",36.0726,-79.7920,Greensboro,Local,"Real Estate, Retail, Travel",labiznews
LA Biz News (Miami),"https://rss.bizjournals.com/feed/c978145627afc34bb564a5b305ecc09bd0e153c8/3295?market=southflorida&selectortype=channel&selectorvalue=2,17,12,16",25.7617,-80.1918,Miami,Local,"Real Estate, Retail, Travel",labiznews
LA Biz News (Pittsburgh),"https://rss.bizjournals.com/feed/c978145627afc34bb564a5b305ecc09bd0e153c8/3296?market=pittsburgh&selectortype=channel&selectorvalue=2,17,12,16",40.4406,-79.9959,Pittsburgh,Local,"Real Estate, Retail, Travel",labiznews
LA Biz News (St Louis),"https://rss.bizjournals.com/feed/c978145627afc34bb564a5b305ecc09bd0e153c8/3297?market=stlouis&selectortype=channel&selectorvalue=2,17,12,16",38.6270,-90.1994,St Louis,Local,"Real Estate, Retail, Travel",labiznews
BisNow (Atlanta),https://www.bisnow.com/rss-feed/atlanta,33.7490,-84.3880,Atlanta,Local,Real Estate,bisnow
BisNow (Birmingham),https://www.bisnow.com/rss-feed/birmingham,52.4862,-1.8904,Birmingham,Local,Real Estate,bisnow
BisNow (Boston),https://www.bisnow.com/rss-feed/boston,42.3601,-71.0589,Boston,Local,Real Estate,bisnow
BisNow (Chicago),https://www.bisnow.com/rss-feed/chicago,41.8781,-87.6298,Chicago,Local,Real Estate,bisnow
BisNow (Dallas),https://www.bisnow.com/rss-feed/dallas-ft-worth,32.7767,-96.7970,Dallas,Local,Real Estate,bisnow
BisNow (Denver),https://www.bisnow.com/rss-feed/denver,39.7392,-104.9903,Denver,Local,Real Estate,bisnow
BisNow (Houston),https://www.bisnow.com/rss-feed/houston,29.7604,-95.3698,Houston,Local,Real Estate,bisnow
BisNow (Los Angeles),https://www.bisnow.com/rss-feed/los-angeles,34.0522,-118.2437,Los Angeles,Local,Real Estate,bisnow
BisNow (New Jersey),https://www.bisnow.com/rss-feed/new-jersey,49.2144,-2.1312,New Jersey,Regional,Real Estate,bisnow
BisNow (New York),https://www.bisnow.com/rss-feed/new-york,40.7128,-74.0060,New York City,Local,Real Estate,bisnow
BisNow (Oakland),https://www.bisnow.com/rss-feed/oakland,33.7175,-117.8311,Oakland,Local,Real Estate,bisnow
BisNow (Orange County),https://www.bisnow.com/rss-feed/orange-county,33.7175,-117.8311,,Regional,Real Estate,bisnow
BisNow (Philadelphia),https://www.bisnow.com/rss-feed/philadelphia,39.9526,-75.1652,Philadelphia,Local,Real Estate,bisnow
BisNow (Pheonix),https://www.bisnow.com/rss-feed/phoenix,33.4484,-112.0740,Pheonix,Local,Real Estate,bisnow
BisNow (San Francisco),https://www.bisnow.com/rss-feed/san-francisco,37.7749,-122.4194,San Francisco,Local,Real Estate,bisnow
BisNow (Seattle),https://www.bisnow.com/rss-feed/seattle,47.6062,-122.3321,Seattle,Local,Real Estate,bisnow
BisNow (Silicon Valley),https://www.bisnow.com/rss-feed/silicon-valley,37.3875,-122.0575,Silicon Valley,Local,Real Estate,bisnow
BisNow (South Florida),https://www.bisnow.com/rss-feed/south-florida,26.3014,-80.6327,,Regional,Real Estate,bisnow
BisNow (DC),https://www.bisnow.com/rss-feed/washington-dc,38.9072,-77.0369,DC,Local,Real Estate,bisnow
LA Business Journal,https://labusinessjournal.com/rss/headlines/,34.0522,-118.2437,Los Angeles,Regional,Business,labusinessjournal
San Diego Business Tribune (Business),https://www.sandiegouniontribune.com/business/rss2.0.xml,32.7157,-117.1611,San Diego,Local,General,Sandiegobusinesstribune
Mercury News,https://www.mercurynews.com/feed/,37.7749,-122.4194,Bay Area,Regional,General,mercurynews
Houston Chronicle (Real Estate),https://www.chron.com/rss/feed/Real-Estate-290.php,29.7604,-95.3698,Houston,Local,Real Estate,houstonchronicle
Houston Chronicle (Economy),https://www.chron.com/rss/feed/Economy-292.php,29.7604,-95.3698,Houston,Local,Business,houstonchronicle
Houston Chronicle (Business),https://www.chron.com/rss/feed/Business-287.php,29.7604,-95.3698,Houston,Local,Business,houstonchronicle
Houston Chronicle (Local News),https://www.chron.com/rss/feed/News-270.php,29.7604,-95.3698,Houston,Local,General,houstonchronicle
CNBC (Retail),https://www.cnbc.com/id/10000116/device/rss/rss.html,,,,National,Retail,cnbc
CNBC (Economy),https://www.cnbc.com/id/20910258/device/rss/rss.html,,,,National,Business,cnbc
CNBC (Business),https://www.cnbc.com/id/10001147/device/rss/rss.html,,,,National,Business,cnbc
CNBC (Real Estate),https://www.cnbc.com/id/10000115/device/rss/rss.html,,,,National,Real Estate,cnbc
CNBC (Small Business),https://www.cnbc.com/id/44877279/device/rss/rss.html,,,,National,Business,cnbc
CNBC (Earnings),https://www.cnbc.com/id/15839135/device/rss/rss.html,,,,National,Business,cnbc
