,msa,lat,lng
154,"Madison, WI Metropolitan Area north west",43.171610968915495,-89.55954348432257
155,"Madison, WI Metropolitan Area south east",42.9815501310845,-89.29086341567739
156,Deltona Metropolitan Area center,28.892232949999997,-81.218591
157,Deltona Metropolitan Area north west,28.949186166411728,-81.29910308376064
158,Deltona Metropolitan Area south east,28.835279733588266,-81.13807891623937
159,"Jackson, MS Metropolitan Area center",32.3491268,-90.1909146
160,"Jackson, MS Metropolitan Area north west",32.45903569298083,-90.34628763343397
161,"Jackson, MS Metropolitan Area south east",32.239217907019174,-90.03554156656602
162,Spokane Metropolitan Area center,47.68578325,-117.2982789
163,Spokane Metropolitan Area north west,47.77336603296851,-117.42209056161668
164,Spokane Metropolitan Area south east,47.59820046703149,-117.17446723838331
165,Augusta Metropolitan Area center,33.7312819,-83.60745845000001
166,Augusta Metropolitan Area north west,34.59686414618831,-84.83109136658598
167,Augusta Metropolitan Area south east,32.86569965381169,-82.38382553341404
168,Palm Bay Metropolitan Area center,27.986888049999997,-80.65288905
169,Palm Bay Metropolitan Area north west,28.044330765849104,-80.73409311609608
170,Palm Bay Metropolitan Area south east,27.92944533415089,-80.57168498390392
171,Durham Metropolitan Area center,36.005976499999996,-78.94878895
172,Durham Metropolitan Area north west,36.11122161114082,-79.09756901436565
173,Durham Metropolitan Area south east,35.90073138885917,-78.80000888563434
174,"Syracuse, NY Metropolitan Area center",43.08469595,-76.1515386
175,"Syracuse, NY Metropolitan Area north west",43.17971378249118,-76.28586084148641
176,"Syracuse, NY Metropolitan Area south east",42.98967811750882,-76.01721635851358
177,"Chattanooga, TN Metropolitan Area center",35.0654312,-85.2173389
178,"Chattanooga, TN Metropolitan Area north west",35.171917570707514,-85.36787367464365
179,"Chattanooga, TN Metropolitan Area south east",34.958944829292484,-85.06680412535636
180,Provo Metropolitan Area center,40.33654475,-111.80643415
181,Provo Metropolitan Area north west,40.435714186823894,-111.94662531929832
182,Provo Metropolitan Area south east,40.23737531317611,-111.66624298070168
183,Harrisburg Metropolitan Area center,40.302104,-77.1035875
184,Harrisburg Metropolitan Area north west,40.5005440765504,-77.3841129043809
185,Harrisburg Metropolitan Area south east,40.1036639234496,-76.82306209561911
186,"Tulsa, OK Metropolitan Area center",36.1341131,-95.8821439
187,"Tulsa, OK Metropolitan Area north west",36.239186903716046,-96.03068179511514
188,"Tulsa, OK Metropolitan Area south east",36.029039296283955,-95.73360600488486
189,Dayton Metropolitan Area center,39.727066799999996,-84.1737678
190,Dayton Metropolitan Area north west,39.82712639086643,-84.3152173382079
191,Dayton Metropolitan Area south east,39.62700720913356,-84.03231826179208
192,North Port Metropolitan Area center,27.034129,-82.20474604999998
193,North Port Metropolitan Area north west,27.092071360488337,-82.28665644022625
194,North Port Metropolitan Area south east,26.976186639511663,-82.12283565977371
195,"Toledo, OH Metropolitan Area center",41.6386058,-83.5416082
196,"Toledo, OH Metropolitan Area north west",41.64012502325098,-83.54375585446695
197,"Toledo, OH Metropolitan Area south east",41.63708657674902,-83.53946054553305
198,"Wichita, KS Metropolitan Area center",37.69901095,-97.34403094999999
199,"Wichita, KS Metropolitan Area north west",37.80195048288266,-97.48955172680415
200,"Wichita, KS Metropolitan Area south east",37.596071417117344,-97.19851017319583
