category,terminal_category_name,terminal_category_count,insemble_category_name,insemble_category_count,diff
tamale shop,tamale shop,1.0,,,-1
plumber,plumber,1.0,,,-1
general hospital,general hospital,1.0,,,-1
pasta shop,pasta shop,1.0,,,-1
bus stop,bus stop,5.0,bus stop,4.0,-1
japanese steakhouse,japanese steakhouse,1.0,,,-1
dentist,dentist,1.0,,,-1
musical instrument repair shop,musical instrument repair shop,1.0,,,-1
computer repair service,computer repair service,1.0,,,-1
soup shop,soup shop,1.0,,,-1
flamenco dance store,flamenco dance store,1.0,,,-1
wholesale jeweler,wholesale jeweler,1.0,,,-1
neighborhood,neighborhood,1.0,,,-1
wood and laminate flooring supplier,wood and laminate flooring supplier,1.0,,,-1
fish store,fish store,1.0,,,-1
tailor,tailor,1.0,,,-1
bbq area,bbq area,1.0,,,-1
hotel supply store,hotel supply store,1.0,,,-1
engineer,engineer,1.0,,,-1
nepalese restaurant,nepalese restaurant,1.0,,,-1
kashmiri restaurant,kashmiri restaurant,1.0,,,-1
bait shop,bait shop,1.0,,,-1
used cd store,used cd store,1.0,,,-1
catering food and drink supplier,catering food and drink supplier,1.0,,,-1
pet shop,pet shop,1.0,,,-1
store equipment supplier,store equipment supplier,1.0,,,-1
italian food shop,italian food shop,1.0,,,-1
hairdresser,hairdresser,1.0,,,-1
foam rubber supplier,foam rubber supplier,1.0,,,-1
sukiyaki restaurant,sukiyaki restaurant,1.0,,,-1
sewing machine store,sewing machine store,1.0,,,-1
mailing service,mailing service,1.0,,,-1
car alarm supplier,car alarm supplier,1.0,,,-1
adult entertainment club,adult entertainment club,1.0,,,-1
fruit and vegetable shop,fruit and vegetable shop,1.0,,,-1
gluten-free restaurant,gluten-free restaurant,5.0,gluten-free restaurant,4.0,-1
snowboard shop,snowboard shop,1.0,,,-1
baseball goods store,baseball goods store,1.0,,,-1
used musical instrument store,used musical instrument store,1.0,,,-1
paintball store,paintball store,1.0,,,-1
takoyaki restaurant,takoyaki restaurant,1.0,,,-1
appliance parts supplier,appliance parts supplier,1.0,,,-1
fish and chips takeaway,fish and chips takeaway,1.0,,,-1
shopping centre,shopping centre,1.0,,,-1
golf club,golf club,1.0,,,-1
traditional restaurant,traditional restaurant,1.0,,,-1
hair extensions supplier,hair extensions supplier,1.0,,,-1
cinema equipment supplier,cinema equipment supplier,1.0,,,-1
pet boarding service,pet boarding service,1.0,,,-1
adult dvd store,adult dvd store,1.0,,,-1
outdoor clothing and equipment shop,outdoor clothing and equipment shop,1.0,,,-1
live music bar,live music bar,1.0,,,-1
dry wall supply store,dry wall supply store,1.0,,,-1
notary public,notary public,1.0,,,-1
contemporary louisiana restaurant,contemporary louisiana restaurant,1.0,,,-1
sweet shop,sweet shop,1.0,,,-1
