,_id,count,companies
2955,flooranddecor.com,5,"['Floor and Decor', 'Floor & Decor']"
2956,commodorerealty.com,4,['Commodore Realty']
2957,worldkitchen.com,1,['Corelle']
2958,ibtx.com,2,['Independent Bank']
2959,STRATEGICRETAILADVISOR.com,1,['Strategic Retail Advisors']
2960,prakascompany.com,1,['Prakas & Company']
2961,mcbankny.com,2,['Metropolitan Commercial Bank']
2962,fedder.com,2,['The Fedder Company']
2963,keystonerealestategroup.com,2,"['Keystone Real Estate Group', 'Stone Real Estate']"
2964,studioh2g.com,1,['Studio H2G']
2965,newquest.com,32,"['Newquest', 'Newquest Properties', 'New Quest Properties']"
2966,thewiregrassranch.com,2,['Wiregrass Ranch']
2967,legacyallianceholdings.com,1,['Legacy Alliance']
2968,bowlerocorp.com,2,['Bowlero']
2969,youfit.com,3,['Youfit']
2970,quinnpower.com,1,['Quinn']
2971,cityofcarrollton.com,2,['City of Carrollton']
2972,movitajuicebar.com,1,['Movita Juice Bar']
2973,banfield.com,3,['Banfield Pet Hospital']
2974,genpt.com,1,['NAPA Auto Parts']
2975,studio-111.com,3,['Flocke & Avoyer Commercial Real Estate']
2976,iassetmgmt.com,2,"['Iasset Management', 'I Asset Mgmt']"
2977,aliceandolivia.com,1,['Alice + Olivia']
2978,stinson.com,1,['Stinson']
2979,naicapital.com,40,"['NAI Global', 'Ono Hawaiian BBQ', 'NAI Capital']"
2980,roamburgers.com,1,['Roam Artisan Burgers']
2981,premierbuilds4you.com,7,['Premier Construction']
2982,bldr.com,2,['Builders FirstSource']
2983,concentra.com,4,['Concentra']
2984,leggiadro.com,1,['Leggiadro']
2985,ebdevelop.com,1,['EB Development']
2986,baxterrestoration.com,2,['Baxter Restoration']
2987,lymanre.com,2,['LYMAN Real Estate']
2988,zapolskire.com,3,['Zapolski Real Estate']
2989,insiterealestate.com,19,['Insite Real Estate']
2990,rosengrouppr.com,1,['The Rosen Group']
2991,yu.edu,4,['Yeshiva University']
2992,everythingbutwater.com,3,"['Everything but Water', 'Everything But Water']"
2993,mcobrien.com,2,"[""M.C. O'brien""]"
2994,charliepalmer.com,2,['Charlie Palmer Group']
2995,inventrustpm.com,1,['Inventrust Properties']
2996,levi-strauss.co.il,1,['Levi Strauss & Co']
2997,highfivesports.com,1,['Hi-five Sports Zone']
2998,pacificservice.org,2,['Pacific Service Credit Union']
2999,kgdevpartners.com,1,['KG Development Partners']
3000,solasalonstudios.com,1,['Sola Franchise']
3001,palmharbor.com,3,['Palm Harbor Homes']
3002,cityofneedles.com,4,['City of Needles']
3003,eathomegrown.com,1,['Homegrown Sustainable Sandwiches']
3004,truecommercial.com,5,['TRUE Commercial Real Estate']
3005,amtrak.com,1,['Amtrak']
3006,esiteanalytics.com,1,['Esite Analytics']
3007,huddlehouse.com,3,['Huddle House']
3008,christifulli.com,1,['Christifulli Realty Advisors']
3009,dwr.com,1,['Design Within Reach']
3010,dedicatedit.com,1,['Dedicated IT']
3011,newseasonsmarket.com,2,['New Seasons Market']
3012,completenutrition.com,1,['Complete Nutrition']
3013,futura-sciences.com,1,['FUTURA']
3014,grossmortgage.com,1,['Gross Mortgage Finance']
3015,ntyfranchise.com,2,"[""Children's Orchard"", 'Clothes Mentor']"
3016,cedarhilltx.com,2,['City of Cedar Hill']
3017,atlanticcg.com,2,['Atlantic Commercial Group']
3018,michaels.com,3,"['Michaels Stores', 'Michaels']"
3019,genesis-rea.com,3,['Genesis Real Estate Advisers']
3020,ctmale.com,1,['C.T. Male Associates']
3021,mkjadvisors.net,4,"['MKJ Advisors', ""Del Frisco's""]"
3022,barnettpropertiesllc.com,1,['Barnett Properties']
3023,hottopic.com,3,"['Hot Topic', 'BoxLunch']"
3024,newmarkhotels.com,2,['Newmark']
3025,the-carter-group.com,1,['The Carter Group']
3026,penzeys.com,1,"[""Penzey's""]"
3027,capstoneadvisors.com,1,['Capstone Advisors']
3028,wellbizbrands.com,6,"['Wellbiz Brands', 'Elements Massage', 'Fitness Together']"
3029,edens.com,1,['EDENS']
3030,cameronllc.com,3,['Cameron Group']
3031,crossroadstrading.com,1,['Crossroads Trading Co.']
